,Car_Name,Fuel_type,Kilometers,Engine_disp,Gear_type,Milage_in_km/ltr,Seating_cap,color,Max_power,front_brake_type,rear_brake_type,cargo_volume,height,width,length,Weight,Insp_score,top_speed,Car_price
0,2016 Honda Jazz,Petrol,"39,821 kms",1199 ,Automatic,17.1,5,Golden Brown Metallic,88.50,Disc,Drum,354,1544,1694,3989,-,9,-,6.28 Lakh
1,2018 Mahindra Marazzo,Diesel,"41,071 kms",1497 ,Manual,17.3,7,Aqua Marine,121,Disc,Disc,190,1774 ,1866 ,4585 ,-,9.5,145kmph,10.15 Lakh
2,2015 Hyundai Grand i10,Petrol,"67,525 kms",1197 ,Manual,18.9,5,Pure white,82,Disc,Drum,256-liters,1520,1660,3765,-,7.5,165 Kmph,4.51 Lakh
3,2019 Jeep Compass,Petrol,"32,294 kms",1368 ,Automatic,16,5,Grey,160.77,Disc,Discs,408-litres,1640,1818,4395,-,9.5,186.69 kmph,16.78 Lakh
4,2016 Honda City,Petrol,"25,542 kms",1497 ,Manual,17.8,5,Golden,117.3,Disc,Drum,510-litres,1495,1695,4440,-,8.5,195 Kmph,7.33 Lakh
5,2017 Jeep Compass,Diesel,"58,463 kms",1956 ,Manual,17.1,5,Exotic Red,173,Disc,Discs,408-litres,1640,1818,4395,-,9,-,12.30 Lakh
6,2018 Hyundai Verna,Petrol,"54,282 kms",1591 ,Manual,17,5,White,121.3,Disc,Drum,480,1475,1729,4440,-,8.5,-,10.14 Lakh
7,2016 Honda Jazz,Petrol,"15,385 kms",1199 ,Automatic,19,5,White,88.7,Disc,Drum,354-litres,1544,1694,3955,-,9,172 Kmph,6.29 Lakh
8,2016 Honda City,Petrol,"46,194 kms",1497 ,Automatic,18,5,White,117.3,Disc,Drum,510-litres,1495,1695,4440,-,8,195 Kmph,8.23 Lakh
9,2021 Hyundai Grand i10 Nios,Petrol,"28,975 kms",1197 ,Manual,20.7,5,Blue,81.86,Disc,Drum,-,1520,1680,3805,-,9.5,-,6.58 Lakh
10,2017 Maruti Baleno,Petrol,"38,155 kms",1197 ,Manual,21.4,5,Ray blue,83.1,Disc,Drum,339-litres,1510,1745,3995,1340,8,180 Kmph,6.43 Lakh
11,2020 Honda City,Petrol,"38,749 kms",1498 ,Manual,17.8,5,Grey,119.35,Ventilated Disc,Drum,506,1489,1748,4549,1482-1528,9,-,9.90 Lakh
12,2017 Hyundai Verna,Petrol,"60,238 kms",1591 ,Automatic,17.01,5,Pure white,121.3,Disc,Drum,465-litres,1475,1700,4375,-,8.5,196 Kmph,8.93 Lakh
13,2018 Honda Jazz,Petrol,"64,554 kms",1199 ,Automatic,18.2,5,Golden Brown Metallic,88.7,Disc,Drum,354-litres,1544 ,1694 ,3955 ,-,9,172 Kmph,7.19 Lakh
14,2020 BMW 7 Series,Petrol,"11,000 kms",2998 ,Automatic,11.86,4,White,335.2,-,-,-,1485,2169,5238,-,-,-,1.09 Cr
